Bitcoin,Ethereum,XRP,Bitcoin Cash,Litecoin,EOS,TRON,Cardano,Monero,NEO,IOTA,Dash,Ethereum Classic,NEM,Dogecoin,Zcash,Decred,Qtum,Bitcoin Gold,Lisk,Stellar
-0.98%,-2.09%,-2.86%,-3.99%,-0.23%,-2.84%,-0.11%,-3.48%,-2.91%,6.04%,-0.72%,-0.77%,-1.51%,-0.25%,17.07%,-2.74%,-2.10%,-0.69%,-1.83%,3.53%,-2.08%
2.31%,4.74%,8.75%,2.10%,4.28%,5.12%,4.89%,4.43%,8.19%,5.56%,4.80%,7.20%,8.69%,0.06%,-2.42%,7.68%,8.82%,-0.13%,16.65%,3.11%,6.38%
0.46%,0.26%,-2.05%,4.53%,4.36%,0.15%,-1.40%,-1.01%,-1.55%,-3.23%,-2.04%,-1.37%,2.98%,1.17%,-4.31%,-1.30%,-1.99%,-0.26%,3.82%,-3.72%,-1.30%
2.69%,5.15%,1.54%,4.51%,-0.12%,2.06%,7.64%,0.36%,2.52%,-1.42%,4.77%,3.34%,27.87%,1.94%,-0.64%,4.65%,3.01%,-0.04%,1.80%,2.37%,4.49%
1.73%,3.33%,-0.81%,-3.00%,-3.07%,1.74%,6.29%,-3.82%,1.82%,-1.68%,-1.42%,0.77%,-6.19%,0.99%,-11.17%,-2.06%,0.63%,-0.17%,-7.05%,-2.23%,1.15%
-1.61%,-2.28%,-2.47%,-4.49%,-3.03%,0.18%,-2.53%,-3.72%,-3.85%,-4.12%,-2.30%,-2.95%,-2.92%,2.57%,-5.26%,-2.61%,-2.17%,1.03%,-0.02%,-3.69%,-5.02%
2.31%,0.72%,1.54%,3.13%,1.85%,5.06%,0.54%,7.38%,3.83%,2.55%,0.00%,-1.81%,0.84%,-0.14%,4.86%,1.15%,1.20%,-0.25%,2.06%,2.18%,0.08%
-4.89%,-6.68%,-6.72%,-10.62%,-9.86%,-8.48%,-11.25%,-7.28%,-6.46%,-9.89%,-6.78%,-5.35%,-10.65%,2.02%,-7.62%,-2.60%,-6.53%,0.17%,-9.64%,-7.95%,-7.01%
0.56%,-0.36%,-1.31%,3.75%,-0.84%,0.73%,-0.42%,-0.14%,-0.35%,0.60%,-0.69%,-2.85%,1.30%,0.51%,2.33%,2.24%,0.29%,-0.04%,-0.31%,2.78%,-1.83%
0.15%,-0.07%,-0.11%,-1.13%,-0.92%,-0.73%,-0.88%,0.29%,-1.18%,-1.74%,-0.60%,0.44%,-0.47%,0.43%,0.70%,-2.37%,1.86%,-0.37%,-0.34%,1.23%,1.14%
1.41%,2.04%,0.81%,3.31%,6.05%,3.86%,2.83%,1.09%,1.94%,1.87%,-1.30%,2.62%,1.57%,-0.96%,0.31%,0.46%,3.35%,0.29%,1.88%,2.10%,0.64%
-1.94%,-3.77%,-2.41%,8.81%,-4.77%,-3.04%,-2.11%,-2.76%,-3.36%,-5.10%,-4.31%,-3.26%,-3.87%,1.08%,-3.26%,-3.45%,-4.41%,0.13%,0.72%,-3.51%,-2.59%
3.34%,3.77%,1.94%,1.33%,2.92%,3.10%,2.05%,1.85%,7.05%,2.07%,3.12%,1.88%,1.79%,0.06%,1.61%,3.35%,1.84%,-0.25%,2.06%,5.58%,3.40%
0.30%,-0.36%,2.54%,-2.36%,-2.49%,-1.59%,-0.99%,-0.85%,-2.03%,0.44%,-0.86%,-0.77%,-1.26%,0.48%,-0.95%,1.18%,0.88%,-0.21%,1.09%,-1.33%,-0.75%
0.89%,4.13%,0.47%,-1.26%,3.38%,0.86%,0.69%,-1.55%,2.50%,2.48%,0.26%,3.02%,1.80%,0.86%,4.62%,0.14%,1.11%,-0.25%,1.06%,1.25%,0.61%
0.11%,-0.05%,-1.53%,-0.04%,0.57%,-0.19%,-1.52%,-2.74%,-0.87%,-1.61%,0.16%,-1.06%,-0.81%,-1.34%,-1.77%,-0.65%,-0.12%,-0.04%,0.10%,-0.72%,-1.31%
0.64%,0.02%,-1.02%,-1.99%,-1.26%,-0.47%,-1.40%,-3.78%,1.34%,-1.39%,0.52%,0.39%,-0.72%,1.68%,0.35%,0.00%,1.80%,0.54%,-0.30%,-0.04%,-0.25%
-0.40%,-2.11%,-1.90%,-3.43%,-5.14%,-4.08%,-4.55%,-3.20%,-1.25%,-3.37%,-2.06%,-1.64%,-5.06%,-0.05%,-4.83%,-2.14%,-0.31%,-0.28%,-3.38%,-2.17%,-2.66%
1.64%,1.09%,0.51%,0.85%,-0.45%,0.17%,0.60%,5.32%,-0.14%,2.58%,1.27%,0.92%,0.25%,-0.29%,1.45%,1.09%,0.92%,-0.82%,1.90%,0.56%,0.94%
3.20%,-0.33%,-0.81%,-0.55%,-2.61%,-1.45%,-2.70%,-4.54%,1.12%,-3.93%,-2.92%,-3.24%,0.31%,1.85%,-1.14%,-2.71%,-1.88%,-0.25%,-0.52%,-2.39%,-1.48%
-1.91%,-3.22%,-5.85%,-4.13%,-1.93%,-7.10%,-4.28%,-2.52%,-2.39%,-4.28%,-4.17%,-2.80%,-5.93%,-1.84%,-6.34%,-3.38%,0.28%,-1.41%,-5.68%,-4.90%,-7.63%
-4.68%,-6.90%,-4.25%,-4.43%,-2.73%,-4.67%,-1.82%,-4.68%,-9.40%,-3.81%,-5.98%,-5.89%,-3.62%,2.19%,-3.43%,-5.07%,-8.51%,-0.12%,-4.61%,-6.12%,-4.08%
1.33%,1.14%,2.99%,-1.24%,2.46%,3.20%,3.72%,-0.18%,1.11%,-1.43%,-0.60%,0.67%,0.61%,0.53%,0.80%,-0.90%,-0.60%,0.21%,7.77%,-0.21%,0.01%
-0.21%,1.38%,-0.60%,-0.06%,-1.49%,-0.69%,-1.07%,1.42%,1.20%,1.09%,1.62%,0.14%,1.20%,1.13%,0.04%,0.22%,1.06%,0.04%,-1.21%,1.15%,0.73%
0.25%,-0.76%,0.19%,-3.27%,-3.32%,0.07%,-0.23%,-2.28%,-2.25%,-1.97%,0.01%,0.52%,1.36%,0.74%,0.44%,-2.26%,4.14%,-0.48%,-0.51%,-2.62%,-1.26%
-0.71%,-1.33%,-1.05%,-7.41%,-2.61%,-4.18%,-3.25%,-5.81%,-1.15%,1.04%,14.26%,-1.98%,-0.31%,1.05%,-2.41%,-2.83%,-4.52%,0.08%,-2.39%,-1.47%,-2.29%
1.96%,4.51%,5.15%,12.71%,9.32%,6.64%,4.99%,8.79%,2.57%,3.67%,-1.38%,3.38%,5.92%,0.47%,1.78%,3.61%,2.06%,0.20%,3.46%,1.81%,3.64%
0.97%,-0.84%,-1.55%,1.43%,-0.87%,-0.94%,-0.81%,-1.88%,4.60%,-0.25%,-1.56%,4.80%,-1.07%,1.45%,0.44%,0.80%,3.06%,0.00%,3.37%,0.06%,1.47%
1.90%,0.79%,-0.49%,-0.66%,0.13%,0.11%,-0.65%,-0.64%,-0.90%,1.51%,-1.79%,0.04%,-0.92%,-0.75%,3.41%,-2.17%,2.03%,-0.49%,0.09%,-0.08%,-1.15%
4.77%,3.63%,1.65%,8.46%,7.54%,6.19%,1.78%,1.87%,4.13%,1.27%,0.92%,3.29%,4.90%,1.95%,4.25%,4.90%,5.80%,0.41%,10.34%,4.34%,2.05%
1.07%,-2.30%,-1.18%,-0.47%,-1.57%,-2.45%,-2.72%,-4.26%,1.16%,-5.27%,-0.11%,-0.27%,-3.95%,0.15%,-0.67%,-3.00%,0.01%,0.04%,-0.39%,-3.36%,-2.53%
-0.61%,-0.34%,-0.75%,0.89%,-2.59%,-1.26%,0.39%,-1.14%,-2.52%,-1.70%,2.27%,-1.17%,-1.58%,0.77%,-2.07%,-1.86%,-0.20%,0.24%,0.25%,-2.43%,-0.84%
-0.78%,5.70%,0.04%,-2.14%,-1.38%,0.08%,1.92%,0.93%,0.74%,-0.93%,-4.07%,0.95%,-0.78%,0.13%,-3.46%,0.01%,-1.50%,0.28%,-0.85%,-0.41%,-1.25%
1.46%,-1.52%,-0.80%,-0.33%,-0.38%,-0.60%,-0.08%,-4.08%,-1.45%,-2.35%,-1.77%,-2.38%,-0.47%,-0.53%,-0.31%,-3.62%,-1.62%,0.28%,2.32%,-3.12%,-2.75%
2.27%,0.61%,0.57%,-0.09%,-0.04%,0.72%,3.22%,0.92%,2.80%,1.15%,2.95%,0.45%,1.21%,-1.10%,0.12%,0.90%,0.10%,-0.44%,3.96%,2.74%,-1.28%
3.21%,-0.39%,-1.36%,-0.80%,-0.56%,-0.92%,-5.15%,-4.51%,-3.94%,-4.32%,-7.59%,-4.78%,-2.88%,0.70%,-1.42%,-3.14%,0.72%,-0.40%,1.59%,4.30%,-3.69%
3.29%,1.66%,1.30%,1.24%,4.01%,-0.53%,1.17%,2.81%,5.25%,1.77%,7.40%,0.39%,1.28%,2.21%,0.76%,1.85%,0.00%,0.60%,1.69%,-0.94%,2.42%
12.93%,12.22%,8.07%,23.83%,15.63%,14.64%,7.04%,18.65%,13.98%,11.87%,8.08%,10.07%,7.80%,0.03%,9.50%,11.07%,13.94%,-0.16%,10.59%,11.96%,12.77%
-3.21%,-3.52%,-4.38%,-0.63%,-5.56%,-4.01%,-6.05%,-6.73%,-4.31%,-5.77%,-3.60%,0.14%,-4.18%,1.37%,-3.34%,-5.56%,-8.21%,0.00%,-3.05%,-8.02%,-5.05%
12.10%,5.03%,4.95%,8.60%,4.05%,4.70%,3.63%,4.26%,6.66%,5.23%,10.76%,6.01%,4.49%,-0.55%,3.49%,5.62%,7.08%,0.00%,6.52%,-0.02%,1.48%
2.39%,10.37%,25.82%,0.93%,4.05%,8.48%,11.86%,15.73%,4.92%,12.21%,11.22%,7.36%,7.57%,-0.73%,11.24%,6.15%,-0.60%,0.61%,-1.17%,1.54%,12.50%
2.70%,13.89%,11.58%,3.55%,11.00%,7.28%,13.99%,11.10%,13.08%,16.02%,16.76%,7.80%,15.44%,-0.21%,7.65%,13.92%,17.15%,-0.84%,7.81%,12.95%,21.14%
-3.78%,6.91%,-7.90%,-0.93%,-5.90%,0.50%,-7.76%,-6.21%,-7.37%,-6.17%,-5.35%,-2.38%,1.00%,-1.97%,-4.29%,-2.54%,-7.35%,-0.19%,-5.94%,2.36%,0.08%
-6.89%,-7.61%,-7.98%,-8.49%,-6.94%,-7.42%,-5.73%,-5.61%,-5.77%,-6.65%,-5.08%,-7.37%,-5.65%,0.61%,-6.53%,-3.38%,-7.41%,0.08%,-7.46%,-8.54%,-7.76%
-0.96%,-3.82%,-4.09%,-1.88%,-2.60%,-2.17%,-1.46%,-4.99%,-2.98%,-4.00%,-3.27%,1.61%,-0.79%,-0.19%,1.31%,-1.56%,1.06%,-0.12%,-3.72%,-2.58%,0.47%
12.79%,11.45%,12.09%,17.96%,9.98%,10.28%,9.14%,10.03%,13.84%,9.70%,11.22%,20.93%,9.36%,-2.56%,5.55%,8.75%,4.85%,-1.36%,10.33%,4.66%,9.89%
-2.67%,-3.60%,-4.66%,-2.03%,-4.03%,-3.79%,-2.55%,-2.43%,-3.30%,2.41%,-4.31%,-1.23%,-5.72%,3.28%,-4.34%,-2.52%,-2.82%,-1.71%,-5.16%,-0.88%,-4.18%
-0.18%,1.42%,-0.15%,1.22%,-0.07%,0.61%,1.31%,-0.27%,1.72%,0.80%,2.42%,-0.66%,0.58%,0.22%,1.45%,-1.67%,0.55%,-0.28%,12.80%,-0.68%,-0.92%
-3.47%,-4.04%,-5.25%,-5.94%,-3.60%,-5.09%,-5.52%,-7.86%,-6.17%,-7.75%,-7.15%,-6.96%,-6.74%,-1.29%,-4.64%,-5.98%,-4.58%,-2.16%,-2.16%,-6.38%,-7.46%
2.66%,0.53%,1.19%,3.66%,1.11%,1.26%,0.55%,3.56%,1.46%,1.98%,0.68%,-0.21%,1.70%,1.90%,0.82%,2.58%,-2.46%,0.04%,1.72%,2.78%,0.75%
1.34%,1.42%,0.85%,0.77%,12.28%,5.86%,2.15%,0.18%,1.03%,0.79%,-1.24%,1.15%,2.75%,1.42%,1.18%,0.67%,0.96%,0.29%,0.58%,0.60%,0.60%
0.76%,0.83%,0.58%,-0.60%,2.63%,-0.32%,0.26%,-0.45%,1.69%,-0.51%,0.26%,-0.13%,0.26%,0.67%,-0.17%,-0.12%,1.09%,1.54%,-1.02%,4.35%,-0.14%
7.67%,6.10%,5.50%,6.47%,8.49%,8.18%,11.89%,6.85%,5.80%,4.68%,6.67%,4.19%,4.91%,-0.51%,3.52%,4.85%,1.61%,-0.60%,3.34%,2.56%,5.83%
1.52%,2.14%,6.31%,2.50%,5.92%,15.61%,11.53%,6.58%,6.46%,3.85%,6.72%,2.72%,6.98%,-2.24%,1.36%,1.04%,2.50%,-0.69%,1.20%,0.41%,2.70%
-0.94%,-0.30%,2.94%,-1.81%,-2.51%,1.06%,-1.20%,1.38%,-1.88%,1.23%,9.91%,1.31%,0.74%,-3.71%,0.19%,11.62%,-3.62%,-0.04%,-0.60%,5.23%,1.55%
-0.68%,-0.85%,-0.68%,4.39%,0.14%,-0.93%,-2.85%,-2.16%,-2.15%,6.70%,6.69%,-0.47%,-0.54%,-1.63%,-0.70%,-0.67%,0.31%,-0.25%,7.55%,-2.40%,-1.83%
-3.95%,-5.08%,-4.82%,-6.56%,-5.51%,-7.55%,-6.99%,-6.96%,-2.17%,-5.81%,-7.38%,-3.05%,-0.43%,1.88%,4.26%,-1.98%,-2.11%,0.08%,2.11%,-6.48%,-4.73%
3.06%,4.73%,3.85%,4.82%,5.37%,15.58%,5.50%,5.83%,1.36%,6.69%,7.06%,1.28%,6.32%,1.13%,5.68%,8.36%,1.56%,0.82%,9.70%,5.23%,2.75%
-0.11%,-1.13%,-1.85%,-2.37%,-1.61%,-8.65%,13.15%,1.20%,-0.34%,0.99%,-5.21%,-1.05%,-0.90%,0.26%,-0.70%,-4.47%,0.37%,-0.16%,-2.59%,1.50%,-0.41%
2.07%,1.77%,3.21%,2.08%,1.77%,-0.24%,2.53%,6.49%,2.04%,2.86%,1.44%,1.06%,10.90%,0.81%,-0.82%,2.41%,2.74%,-0.36%,0.19%,1.56%,3.38%
-6.09%,-6.47%,-4.25%,-7.90%,-6.28%,-12.49%,-11.18%,-8.16%,-5.53%,-10.51%,-8.67%,-5.43%,-1.13%,0.52%,-5.86%,-5.06%,-7.68%,0.00%,-3.82%,-6.81%,-5.48%
-6.13%,-4.42%,-5.82%,-6.26%,-4.92%,-7.14%,2.87%,-6.74%,-7.05%,-9.00%,-5.19%,-8.12%,-12.62%,0.16%,-5.32%,-7.53%,-5.51%,-0.16%,-9.37%,-3.48%,-6.13%
1.56%,2.30%,0.61%,4.11%,1.69%,2.07%,-2.32%,0.87%,1.89%,0.51%,1.60%,2.69%,-0.92%,1.21%,1.02%,3.76%,2.88%,-2.54%,0.84%,1.27%,-0.67%
0.03%,1.03%,4.28%,-0.29%,7.03%,-0.85%,-3.95%,0.10%,2.23%,0.88%,-1.46%,-2.34%,-2.28%,-0.25%,0.49%,-0.99%,-1.74%,-0.12%,0.26%,-0.73%,2.59%
2.77%,0.64%,0.85%,1.11%,5.77%,4.21%,3.15%,2.88%,1.60%,4.98%,5.03%,4.16%,3.09%,2.88%,0.71%,5.04%,5.03%,-0.78%,3.83%,7.58%,2.57%
-1.03%,-2.19%,-2.56%,-1.82%,1.09%,-3.77%,-3.88%,-1.91%,-0.86%,-1.75%,-2.98%,-2.65%,2.92%,-0.22%,-1.00%,-3.68%,-1.36%,0.00%,-1.74%,-1.67%,-0.96%
-3.29%,-5.07%,-5.92%,-3.29%,-2.91%,-3.70%,-7.54%,-5.62%,-4.31%,-4.03%,-5.19%,-2.06%,-3.61%,-2.08%,-2.11%,-3.89%,0.95%,0.73%,-5.48%,-7.71%,-4.95%
4.00%,6.31%,3.15%,3.55%,12.24%,4.11%,5.25%,7.69%,3.87%,6.75%,5.08%,6.15%,1.95%,-0.18%,2.55%,3.53%,3.27%,-0.44%,5.43%,6.93%,3.45%
-0.96%,-0.84%,-1.60%,-1.74%,5.23%,-1.56%,-1.31%,2.77%,-0.30%,0.09%,-1.28%,-2.36%,-0.33%,0.95%,-1.04%,-0.59%,1.73%,-0.04%,-1.70%,1.72%,-0.93%
2.78%,6.09%,1.88%,2.13%,-0.32%,1.42%,7.36%,9.69%,4.01%,4.90%,2.50%,5.62%,3.54%,1.23%,0.20%,13.20%,0.17%,0.08%,2.57%,0.26%,2.89%
1.05%,-1.82%,-0.20%,3.94%,-3.19%,0.49%,-2.88%,-6.84%,-1.05%,0.95%,0.76%,-1.69%,-0.38%,-3.48%,0.36%,-3.95%,-0.16%,0.16%,1.80%,-0.15%,-1.30%
5.62%,3.09%,1.27%,2.28%,1.33%,1.96%,-0.30%,0.94%,1.35%,3.83%,-1.60%,0.23%,0.27%,-1.98%,1.59%,3.66%,-4.72%,0.08%,1.53%,-2.68%,0.45%
1.71%,1.93%,1.15%,0.27%,3.72%,4.70%,1.03%,1.13%,4.60%,3.38%,0.83%,0.58%,0.46%,-3.01%,0.70%,1.74%,3.81%,-0.38%,-0.60%,-2.38%,1.18%
1.73%,0.12%,4.14%,1.30%,-0.74%,1.35%,0.34%,0.68%,1.23%,0.36%,2.32%,1.06%,1.04%,1.06%,1.30%,1.36%,0.61%,0.58%,1.32%,5.00%,2.47%
3.69%,1.95%,4.90%,0.99%,-1.96%,2.05%,2.78%,1.37%,2.63%,1.21%,-1.63%,1.57%,1.04%,0.75%,0.06%,9.29%,4.24%,0.61%,2.31%,-1.40%,0.99%
-2.72%,-3.38%,-4.25%,-4.19%,0.51%,-4.76%,-2.37%,-4.75%,-2.10%,-3.91%,-1.96%,-0.44%,-3.51%,-2.67%,-2.13%,9.48%,-1.07%,0.26%,-3.92%,-1.62%,-4.95%
2.15%,1.65%,1.88%,0.72%,1.07%,1.07%,0.57%,0.92%,4.31%,0.80%,1.41%,2.26%,1.28%,-0.36%,0.22%,-1.11%,-1.45%,-0.19%,2.82%,1.07%,-0.18%
2.74%,0.85%,-1.54%,-0.78%,-0.82%,-0.40%,-1.78%,-2.88%,4.51%,-1.52%,-4.39%,-0.16%,-0.33%,-1.46%,0.57%,-1.40%,3.16%,0.38%,1.94%,-1.82%,-2.29%
6.50%,8.53%,3.11%,6.25%,2.49%,3.50%,1.88%,2.47%,4.02%,3.52%,1.95%,3.75%,2.58%,2.56%,1.77%,0.19%,1.76%,0.72%,2.88%,4.53%,2.11%
5.17%,4.83%,7.02%,9.21%,2.06%,5.44%,11.86%,5.29%,4.75%,24.54%,8.46%,4.83%,4.70%,-1.21%,1.55%,2.65%,3.25%,0.08%,4.38%,-0.01%,3.91%
1.48%,-0.51%,-1.38%,-0.92%,-3.57%,-3.02%,0.13%,2.37%,0.43%,-4.04%,-2.88%,-1.03%,1.47%,0.03%,0.58%,-2.58%,11.72%,-0.56%,2.41%,-2.31%,-1.33%
1.45%,0.88%,0.33%,0.19%,-1.01%,-0.31%,2.57%,1.11%,1.91%,6.58%,1.80%,0.83%,-0.18%,0.86%,1.63%,-0.53%,-5.38%,-1.06%,-1.79%,1.09%,0.22%
7.12%,2.40%,-0.49%,0.65%,0.67%,-0.33%,0.45%,-1.49%,-4.28%,8.90%,-1.73%,1.58%,-0.18%,0.13%,0.74%,-3.24%,-1.36%,0.31%,3.40%,0.91%,-2.57%
10.51%,5.90%,-0.21%,1.20%,-3.82%,-5.99%,-5.35%,0.48%,-7.47%,-1.77%,-0.92%,-2.14%,-2.25%,2.13%,-0.35%,7.45%,8.78%,-1.26%,-3.34%,-4.09%,-1.49%
-14.09%,-12.67%,-12.60%,-14.94%,-12.82%,-12.85%,-11.67%,-11.57%,-9.17%,-12.07%,-10.54%,-10.60%,-15.19%,-1.32%,-1.80%,-7.14%,-11.31%,2.03%,-13.65%,-8.19%,-12.39%
11.16%,5.81%,4.47%,5.60%,5.02%,5.82%,5.16%,3.25%,7.57%,7.03%,4.51%,8.97%,4.69%,-0.56%,4.74%,6.80%,9.05%,0.23%,7.11%,3.13%,4.20%
-3.56%,2.82%,0.35%,1.28%,11.24%,2.18%,4.11%,1.26%,-1.68%,1.74%,1.98%,-0.25%,3.06%,-0.78%,-2.13%,1.81%,3.69%,-0.70%,0.73%,-0.66%,2.20%
-9.34%,-9.04%,-7.64%,-9.61%,-8.58%,-9.73%,-9.51%,-9.27%,-12.26%,-9.54%,-7.94%,-7.93%,-6.59%,0.77%,-4.68%,-9.89%,-12.93%,0.35%,-7.63%,-6.25%,-9.37%
-1.98%,1.16%,2.77%,4.20%,0.39%,4.46%,2.26%,2.10%,0.76%,1.17%,3.39%,-1.42%,0.66%,0.03%,-0.37%,0.91%,-3.35%,-1.05%,-0.53%,-1.41%,0.86%
2.01%,-0.66%,-1.53%,-2.07%,-2.70%,-1.99%,-1.97%,-3.25%,-2.46%,5.90%,-1.16%,-1.13%,-0.72%,-0.66%,-1.02%,-1.29%,-0.84%,-0.36%,0.63%,-0.19%,-1.73%
10.57%,3.89%,2.09%,3.60%,2.71%,3.57%,3.34%,2.42%,4.36%,0.46%,1.61%,3.56%,2.15%,-0.10%,3.31%,4.46%,9.29%,2.25%,1.83%,-0.76%,3.25%
-6.33%,-6.11%,-4.80%,-5.00%,-2.06%,-5.66%,-4.83%,-6.30%,-2.42%,-5.00%,-4.39%,-1.69%,-1.07%,1.14%,-2.56%,-4.88%,-4.22%,1.10%,1.10%,-8.30%,-6.57%
-2.01%,1.27%,-2.51%,-0.28%,-1.24%,0.22%,1.41%,-1.64%,1.55%,-0.19%,-1.15%,-1.76%,1.18%,0.79%,19.87%,-1.18%,-2.77%,-0.27%,-2.61%,0.70%,0.20%
2.06%,-0.12%,2.62%,1.31%,-0.47%,-0.04%,0.63%,1.07%,5.38%,-1.20%,1.20%,0.75%,-0.39%,0.49%,-8.39%,3.39%,1.87%,-0.24%,-0.49%,2.07%,2.99%
2.08%,6.29%,1.94%,1.53%,1.94%,3.51%,9.00%,3.38%,14.04%,2.52%,2.06%,2.51%,1.50%,-0.10%,2.25%,3.13%,5.05%,0.59%,0.83%,1.44%,2.07%
7.33%,2.46%,1.08%,1.58%,2.50%,0.48%,-1.15%,0.68%,-5.14%,1.98%,2.04%,1.74%,0.59%,0.13%,-2.09%,-1.45%,2.47%,0.16%,5.36%,-1.03%,0.03%
2.36%,-1.42%,-1.86%,-0.65%,-3.10%,-1.40%,-0.38%,-3.06%,-2.14%,-1.68%,-2.33%,-2.19%,-1.45%,-2.03%,-0.20%,-3.90%,2.99%,0.69%,4.46%,-4.65%,-3.09%
-3.30%,-6.10%,-7.87%,-6.21%,-9.21%,-10.32%,-6.60%,-7.78%,-4.54%,-6.06%,-7.23%,-3.73%,-7.68%,1.14%,-3.58%,-3.64%,-2.50%,-0.15%,-0.68%,-5.61%,-6.66%
-6.43%,-7.33%,-9.11%,-11.38%,-5.46%,-11.32%,-12.97%,-9.36%,-6.12%,-9.97%,-6.68%,-5.22%,-9.07%,-0.03%,-5.09%,-9.37%,-7.72%,-0.04%,-0.66%,-7.37%,-8.48%
4.07%,2.82%,4.17%,2.28%,2.41%,2.61%,5.94%,7.02%,10.08%,5.37%,3.46%,0.36%,2.53%,-0.05%,3.05%,5.92%,3.94%,-0.60%,5.49%,5.31%,12.57%
-3.56%,-2.47%,-3.63%,-2.71%,-4.05%,-1.37%,-3.99%,-4.35%,-4.96%,-8.01%,-3.01%,-2.24%,-2.64%,1.32%,-2.81%,-3.94%,-1.96%,-0.08%,-6.86%,-3.76%,-2.54%
-9.88%,-15.49%,-7.89%,-18.01%,-11.21%,-13.43%,-10.82%,-11.03%,-8.03%,-14.82%,-11.30%,-11.63%,-14.56%,0.39%,-7.26%,-8.35%,-7.82%,-0.72%,-3.94%,-11.70%,-9.87%
6.21%,0.79%,2.85%,11.10%,1.19%,4.77%,0.40%,0.21%,3.93%,2.16%,1.42%,-0.82%,2.00%,-1.79%,2.38%,-1.58%,6.86%,0.15%,3.77%,2.27%,0.29%
-13.02%,-13.30%,-5.86%,-10.53%,-12.54%,-14.96%,-16.52%,-12.54%,-17.20%,-16.98%,-13.24%,-17.06%,-7.65%,-0.45%,-8.66%,-16.96%,-12.90%,-0.38%,-7.79%,-13.54%,-9.40%
2.35%,6.24%,4.67%,3.68%,13.10%,4.90%,8.18%,6.32%,3.58%,5.53%,6.63%,1.50%,6.87%,-0.05%,7.48%,10.71%,6.18%,0.11%,2.55%,10.24%,3.10%
9.98%,7.15%,4.00%,8.14%,12.70%,7.13%,12.84%,6.40%,9.91%,21.19%,6.93%,7.68%,6.16%,1.30%,2.97%,7.25%,4.63%,0.72%,1.96%,5.80%,10.20%
-1.16%,-2.35%,-0.73%,-2.15%,-2.65%,-1.88%,8.66%,1.73%,-2.15%,-0.41%,-0.81%,1.18%,-3.03%,-1.06%,-1.96%,-4.61%,-1.17%,0.45%,-5.32%,1.87%,5.54%
2.29%,3.48%,3.97%,5.13%,2.19%,6.63%,3.91%,5.27%,3.70%,3.38%,5.36%,4.06%,5.25%,0.10%,1.76%,3.41%,3.14%,0.63%,6.73%,13.59%,1.40%
-1.66%,-1.54%,-0.71%,-1.09%,-0.88%,0.14%,0.01%,-2.77%,-1.54%,-3.13%,-1.34%,1.52%,1.48%,1.12%,-1.35%,-3.38%,-0.45%,-0.44%,-4.42%,-2.36%,-4.01%
-2.40%,-3.61%,-2.80%,-3.24%,-4.16%,-4.55%,-8.69%,-2.85%,-0.94%,-6.82%,-4.79%,-3.66%,1.52%,0.75%,-2.57%,-3.22%,-2.67%,0.37%,-1.82%,3.13%,-2.56%
-4.31%,-2.22%,-3.83%,-3.91%,-5.01%,0.68%,-8.33%,-6.14%,-2.79%,-6.64%,-2.40%,-4.43%,-5.12%,1.38%,-4.00%,-3.30%,-3.02%,-0.44%,-13.86%,8.75%,-4.89%
-0.77%,2.11%,1.96%,1.58%,4.25%,10.71%,-1.31%,5.79%,-0.46%,4.84%,5.93%,0.35%,1.43%,-0.18%,1.22%,0.41%,-2.12%,0.22%,-1.56%,-1.57%,1.83%
1.05%,1.22%,-0.33%,0.02%,-0.97%,-0.46%,-3.49%,-0.69%,0.27%,1.21%,-2.12%,4.92%,-1.48%,-1.59%,0.38%,-1.51%,-1.20%,0.25%,-3.48%,-1.26%,-0.45%
-0.43%,0.00%,2.79%,4.38%,0.96%,1.18%,0.75%,7.17%,-0.51%,0.34%,-0.98%,-0.03%,3.36%,-1.83%,0.00%,2.04%,-1.18%,0.04%,-3.26%,-2.60%,2.66%
-3.99%,-5.56%,-4.01%,-3.09%,-5.75%,-7.76%,-5.60%,-4.79%,-1.77%,-5.54%,-4.64%,-4.24%,-4.72%,-0.19%,-3.42%,-3.67%,-3.96%,-0.54%,-6.22%,-5.49%,-4.12%
0.65%,1.82%,0.53%,1.29%,0.99%,-0.60%,1.64%,-0.67%,0.95%,-0.87%,-1.24%,-1.92%,-0.52%,-1.18%,1.31%,-0.50%,0.62%,-0.50%,0.62%,-4.96%,-0.79%
-0.30%,0.07%,-0.43%,-0.74%,0.73%,-0.76%,-1.23%,1.71%,-1.85%,0.04%,-0.03%,-2.19%,0.74%,1.02%,-0.66%,-1.78%,-0.99%,0.36%,-3.65%,0.45%,-0.09%
0.89%,-0.39%,2.37%,2.60%,0.11%,0.06%,0.55%,-0.78%,0.52%,-0.25%,0.56%,-0.45%,0.07%,0.55%,-0.49%,-1.00%,-1.49%,0.18%,-2.02%,-1.69%,0.06%
5.01%,3.88%,0.95%,3.40%,8.89%,4.80%,1.36%,0.35%,3.01%,4.16%,1.49%,3.55%,1.92%,0.27%,2.95%,2.10%,6.76%,0.07%,2.33%,1.89%,0.47%
3.20%,-0.34%,-0.88%,0.66%,0.62%,-2.21%,-1.01%,-2.14%,1.68%,1.19%,-0.55%,-1.36%,-1.28%,0.92%,1.97%,-0.38%,3.57%,0.18%,-3.60%,-2.39%,-1.14%
