Bitcoin,Ethereum,XRP,Bitcoin Cash,Litecoin,EOS,TRON,Cardano,Monero,NEO,IOTA,Dash,Ethereum Classic,NEM,Dogecoin,Zcash,Decred,Qtum,Bitcoin Gold,Lisk,Stellar
-0.18%,0.84%,-0.30%,-0.46%,8.01%,-0.85%,4.17%,2.39%,-1.23%,3.00%,-1.78%,-0.51%,-2.15%,0.22%,-0.04%,-0.89%,-0.18%,1.01%,0.45%,-0.24%,-0.94%
6.26%,1.25%,3.85%,4.15%,12.78%,6.53%,3.06%,10.18%,10.17%,10.26%,3.14%,6.52%,7.33%,0.86%,0.65%,6.33%,6.18%,0.94%,6.26%,5.97%,5.53%
-1.31%,-3.87%,-1.22%,-3.36%,-3.75%,-3.84%,2.37%,-2.58%,-3.83%,-1.96%,-3.48%,-3.10%,-10.67%,1.07%,-1.85%,-1.86%,-2.90%,-0.86%,-3.08%,-2.11%,2.42%
0.06%,-1.06%,0.25%,0.32%,4.12%,0.91%,11.04%,0.80%,0.51%,7.89%,-1.32%,-2.12%,1.39%,0.91%,-0.96%,0.22%,-3.75%,-0.29%,0.23%,-1.29%,-0.11%
0.09%,0.17%,1.37%,-1.26%,-1.17%,4.13%,7.75%,7.42%,-0.86%,-0.16%,1.46%,5.05%,-0.17%,0.56%,-0.53%,-0.19%,3.26%,0.46%,-0.58%,1.01%,0.46%
-8.81%,-14.73%,-10.45%,-15.80%,-13.14%,-16.41%,-9.45%,-14.45%,-13.72%,-13.47%,-15.36%,-14.06%,-11.04%,1.53%,-5.79%,-9.14%,-13.31%,1.51%,-8.79%,-12.26%,-11.27%
0.36%,-0.21%,0.49%,-1.67%,-4.03%,-0.43%,-2.42%,-0.39%,0.70%,0.07%,1.06%,0.24%,1.29%,-1.29%,0.00%,2.41%,3.63%,0.41%,1.90%,1.65%,-1.33%
-0.70%,-1.22%,-1.26%,2.19%,-0.22%,0.50%,-6.36%,-1.02%,-1.72%,-2.44%,-0.51%,-0.36%,1.80%,0.69%,0.85%,-0.12%,2.64%,-0.59%,-1.42%,2.95%,-0.47%
-2.89%,-7.16%,-3.29%,-6.06%,-6.37%,-6.89%,-9.50%,-8.15%,-4.20%,-6.79%,-6.20%,-4.54%,-6.90%,0.39%,-2.01%,-5.75%,-7.08%,1.64%,-3.17%,-5.29%,-2.95%
4.18%,10.33%,4.84%,5.93%,6.52%,9.60%,20.50%,9.47%,6.51%,10.22%,4.99%,3.62%,2.34%,0.71%,3.85%,5.36%,2.33%,0.27%,3.60%,6.94%,5.79%
-1.99%,-5.53%,-2.02%,-4.10%,-2.71%,-2.90%,-6.02%,-3.05%,-1.90%,-4.57%,-1.75%,-2.99%,-3.26%,-0.85%,-3.08%,-3.32%,-0.78%,0.22%,-2.81%,-4.92%,-3.42%
0.65%,1.43%,0.84%,0.37%,1.22%,1.92%,2.86%,4.70%,2.87%,1.40%,0.58%,0.91%,2.34%,2.18%,1.42%,-1.18%,3.10%,0.40%,0.68%,1.14%,1.00%
0.73%,0.14%,-0.10%,1.43%,0.12%,2.92%,0.62%,1.00%,-1.10%,1.31%,3.00%,1.18%,4.72%,0.06%,-1.83%,2.79%,2.06%,-0.09%,-2.35%,4.28%,1.64%
-0.55%,-2.14%,-1.49%,-2.01%,-1.89%,-2.02%,-1.96%,-2.19%,-1.15%,-2.00%,-0.41%,-1.10%,-2.83%,0.47%,0.62%,-2.30%,-0.71%,0.57%,-5.20%,-0.52%,-1.38%
2.09%,2.39%,1.63%,1.29%,3.40%,0.75%,-0.82%,3.33%,2.09%,4.66%,0.86%,3.13%,0.13%,-0.41%,2.33%,2.50%,2.25%,0.18%,3.00%,2.11%,1.35%
-3.34%,-4.14%,-3.03%,-4.80%,-4.04%,-4.67%,-2.75%,-4.81%,-4.28%,-5.78%,-4.57%,-5.39%,-2.30%,-0.06%,-1.58%,-2.10%,-5.60%,0.62%,-2.47%,-4.27%,-3.23%
-0.68%,-2.07%,-0.12%,-0.88%,0.08%,-0.83%,7.33%,-1.39%,1.05%,-0.42%,-0.19%,-0.19%,0.32%,0.39%,-0.24%,-1.01%,2.52%,0.09%,-0.60%,-1.05%,-1.24%
0.83%,1.40%,-0.49%,4.67%,1.51%,4.06%,3.20%,1.61%,3.00%,1.75%,1.78%,2.56%,1.12%,-1.24%,-2.00%,0.64%,1.21%,0.04%,0.68%,1.68%,0.44%
-0.57%,-1.06%,-0.96%,3.02%,1.05%,-0.30%,0.82%,-1.49%,-2.31%,-1.62%,-3.41%,-0.98%,-0.42%,-0.15%,-0.58%,-0.14%,0.06%,0.00%,-0.37%,0.01%,-1.50%
0.46%,-0.09%,0.37%,-2.13%,2.29%,0.54%,1.58%,0.21%,1.95%,1.98%,-0.32%,2.81%,-0.11%,0.03%,-0.29%,1.92%,0.81%,0.17%,0.31%,3.35%,-0.16%
-0.21%,-1.03%,-0.22%,-0.89%,0.49%,-0.21%,-0.83%,-0.94%,2.20%,-2.20%,-2.31%,0.80%,0.73%,-0.42%,2.97%,-1.93%,-2.21%,0.09%,-0.31%,-2.81%,-0.22%
0.08%,0.10%,-0.95%,-1.02%,0.55%,-0.77%,7.10%,-0.09%,-2.42%,-0.74%,-1.08%,0.49%,-1.06%,2.71%,-0.53%,-1.06%,0.67%,0.43%,-0.59%,0.15%,-1.65%
